biorxiv_doi,preprint_category,preprint_date,published_date,days_to_publication,published_journal,jaccard_similarity,preprint_word_count,published_word_count,year,primary_label,primary_hedging,preprint_primary_type,published_primary_type,s1_label,s1_hedging,s2_label,s2_hedging,source
10.1101/2022.07.22.500933,physiology,2022-07-22,2023-03-09,230.0,Scientific reports,0.9615,200,200,2022,unchanged,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2021.11.20.469313,cell biology,2021-11-20,2022-10-25,339.0,PLoS biology,0.8029,199,202,2021,minor,weakened,mechanism,mechanism,unchanged,unchanged,major,,pilot
10.1101/2021.11.01.466856,genetics,2021-11-03,2022-07-26,265.0,Malaria journal,0.6475,539,321,2021,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.10.30.362160,biophysics,2020-10-30,2021-01-29,91.0,Biochemistry and biophysics reports,0.6364,277,135,2020,unchanged,unchanged,descriptive,descriptive,minor,unchanged,unchanged,unchanged,pilot
10.1101/2023.02.24.529899,systems biology,2023-02-24,2023-09-18,206.0,PLoS computational biology,0.8963,318,291,2023,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.10.07.330134,evolutionary biology,2020-10-08,2021-09-24,351.0,PLoS computational biology,0.3169,475,206,2020,minor,weakened,association,association,major,,major,,pilot
10.1101/2020.10.26.345488,microbiology,2020-10-27,2021-08-26,303.0,Microbial genomics,0.8661,168,182,2020,unchanged,unchanged,mechanism,mechanism,minor,weakened,minor,unchanged,pilot
10.1101/2024.02.27.582288,biophysics,2024-03-01,2024-07-24,145.0,Scientific reports,0.9764,167,167,2024,minor,unchanged,descriptive,descriptive,unchanged,unchanged,minor,unchanged,pilot
10.1101/2021.08.05.453951,ecology,2021-08-06,2021-09-01,26.0,International journal of molecular sciences,0.8571,185,172,2021,minor,unchanged,descriptive,descriptive,unchanged,unchanged,minor,unchanged,pilot
10.1101/2022.09.01.506142,cell biology,2022-09-01,2022-10-30,59.0,Cells,0.9634,305,309,2022,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2021.04.21.440731,microbiology,2021-04-23,2022-01-13,265.0,PLoS pathogens,0.691,320,191,2021,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.05.30.493965,neuroscience,2022-05-30,2022-09-08,101.0,PLoS genetics,1.0,189,189,2022,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.09.20.460817,neuroscience,2021-09-21,2022-01-03,104.0,Frontiers in neuroscience,0.9012,293,297,2021,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.08.04.551944,animal behavior and cognition,2023-08-07,2025-01-14,526.0,PeerJ,0.5632,243,250,2023,major,weakened,association,null_result,major,,major,,pilot
10.1101/2022.09.20.508761,microbiology,2022-09-20,2024-02-16,514.0,mBio,0.5245,246,349,2022,major,unchanged,association,association,major,unchanged,major,unchanged,pilot
10.1101/2020.05.11.087973,evolutionary biology,2020-05-12,2021-02-18,282.0,Molecular ecology,0.8408,280,243,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2022.05.30.493783,immunology,2022-05-30,2023-06-22,388.0,Cell,0.9619,150,148,2022,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.06.02.106815,physiology,2020-06-03,2021-10-01,485.0,American journal of physiology. Endocrinology and metabolism,0.3369,200,282,2020,major,weakened,mechanism,mechanism,major,unchanged,major,,pilot
10.1101/2021.08.22.457241,evolutionary biology,2021-08-23,2022-02-06,167.0,Molecular ecology,0.9286,261,255,2021,unchanged,unchanged,descriptive,descriptive,minor,unchanged,unchanged,unchanged,pilot
10.1101/2024.03.07.583787,bioengineering,2024-03-12,2024-08-15,156.0,Nature cardiovascular research,0.6438,203,154,2024,minor,unchanged,descriptive,descriptive,minor,strengthened,minor,weakened,pilot
10.1101/2021.12.14.472572,systems biology,2021-12-15,2022-03-23,98.0,mSystems,0.9223,350,354,2021,unchanged,unchanged,method,method,minor,unchanged,unchanged,unchanged,pilot
10.1101/2022.07.24.501328,bioinformatics,2022-07-25,2022-11-13,111.0,"Bioinformatics (Oxford, England)",0.8304,256,268,2022,minor,unchanged,method,method,major,unchanged,unchanged,unchanged,pilot
10.1101/2022.07.06.498864,biochemistry,2022-07-06,2022-09-29,85.0,ACS chemical biology,0.9083,181,192,2022,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.10.30.362103,pharmacology and toxicology,2020-10-31,2021-01-19,80.0,BMC research notes,0.7914,210,200,2020,unchanged,unchanged,method,method,unchanged,unchanged,minor,unchanged,pilot
10.1101/2024.05.08.593202,systems biology,2024-05-10,2025-02-01,267.0,NPJ systems biology and applications,1.0,257,257,2024,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.07.18.549618,evolutionary biology,2023-07-19,2023-11-27,131.0,PLoS genetics,0.98,160,153,2023,unchanged,unchanged,null_result,null_result,minor,unchanged,unchanged,unchanged,pilot
