"series","series_order","posting_year","n_pairs","n_major","major_revision_percent"
"All published pairs",1,2019,1750,298,17.0285714285714
"All published pairs",1,2020,13321,1910,14.3382628931762
"All published pairs",1,2021,19781,2195,11.0965067489005
"All published pairs",1,2022,15918,1354,8.50609373036814
"All published pairs",1,2023,13830,1115,8.06218365871294
"All published pairs",1,2024,7549,428,5.66962511590939
"Published within 730 days; complete observation",2,2021,19149,2084,10.883074834195
"Published within 730 days; complete observation",2,2022,15527,1294,8.33387003284601
"Published within 730 days; complete observation",2,2023,2408,194,8.05647840531561
"Published within 365 days; complete observation",3,2021,16167,1656,10.2430877713862
"Published within 365 days; complete observation",3,2022,12699,907,7.14229466887156
"Published within 365 days; complete observation",3,2023,11287,828,7.33587312837778
"Published within 365 days; complete observation",3,2024,1749,126,7.2041166380789
