"analysis","journals","pairs","selected_model","powers","p_association","p_nonlinearity","p_fp2_vs_fp1"
"All journals",736,59012,"FP2","-0.5,0",1.69868503804334e-183,1.10583201525308e-21,4.90666572808281e-19
"Floor impact values below 1 at 1",736,59012,"FP2","-1,-1",8.98902985366436e-203,8.76890864694702e-40,3.00850767384141e-33
"Journals with n >= 10",649,58286,"FP2","-0.5,0",3.87670679477648e-184,1.54852031557075e-21,1.47984189472713e-18
"Journals with n >= 20",409,55028,"FP2","-0.5,0",3.08735158562104e-185,4.18209181561209e-22,1.49129881125085e-17
"Impact >= 1",709,57964,"FP2","-1,-1",8.00105702426429e-201,4.22198313245039e-29,7.10807657110295e-14
"Impact >= 1.5",662,57144,"FP2","-2,-1",5.80765486333867e-204,1.7903476971034e-30,4.54710017640645e-07
"Exclude eLife",735,53727,"FP2","-0.5,0",8.9018416264061e-137,2.78053250737498e-13,5.80207272851385e-13
"Exclude Nature Communications",735,54914,"FP2","-0.5,0",1.81613600235487e-157,3.3533481296661e-23,1.13905836506706e-21
"Exclude both largest journals",734,49629,"FP2","-0.5,0",3.37307478685213e-117,3.24074729643439e-14,8.38987302051248e-15
"Exclude bottom 1% of impact values",728,58311,"FP2","-1,-0.5",4.52778200212869e-199,4.35011544514259e-32,2.92028554812662e-22
"Exclude bottom 5% of impact values",699,57827,"FP2","-2,-1",3.23633869882165e-204,3.94515248677348e-33,2.0747685472351e-17
"Exclude top 1% of impact values",728,58628,"FP2","-0.5,0",2.41804246508068e-174,1.92153767464611e-14,2.90063732515201e-15
"Restrict to 1st-99th percentiles",720,57927,"FP2","-1,-0.5",6.83478263042431e-189,3.44065866678317e-23,3.40656466004522e-20
