"preprint","time_days","journal","pub_year","doi"
0,171,"applied and environmental microbiology",2023,"10.1128/aem.00609-23"
0,258,"applied and environmental microbiology",2022,"10.1128/aem.00244-22"
0,363,"cells",2021,"10.3390/cells10061325"
0,1132,"communications biology",2022,"10.1038/s42003-022-03614-3"
1,65,"communications biology",2021,"10.1038/s42003-021-02668-z"
0,231,"communications biology",2021,"10.1038/s42003-020-01565-1"
0,97,"ecology and evolution",2024,"10.1002/ece3.11399"
0,340,"ecology and evolution",2023,"10.1002/ece3.10393"
0,1229,"embo reports",2022,"10.15252/embr.202153509"
0,707,"frontiers in cell and developmental biology",2023,"10.3389/fcell.2022.1026477"
0,294,"frontiers in cell and developmental biology",2022,"10.3389/fcell.2022.999547"
0,732,"frontiers in cell and developmental biology",2022,"10.3389/fcell.2021.813996"
0,1055,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.688949"
0,812,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.765654"
0,784,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.686453"
0,1080,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.652322"
0,1085,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.628573"
0,1568,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.671704"
0,1574,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.661461"
0,1466,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.657888"
0,1113,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.607001"
0,1708,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.652939"
0,869,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.640391"
0,565,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.660571"
0,490,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.636553"
0,1256,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2021.568738"
0,1822,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2020.621509"
0,89,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2020.610097"
0,580,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2020.629397"
0,559,"frontiers in cell and developmental biology",2021,"10.3389/fcell.2020.634137"
0,308,"frontiers in genetics",2023,"10.3389/fgene.2023.1143644"
0,392,"frontiers in genetics",2023,"10.3389/fgene.2022.1095338"
0,1203,"frontiers in genetics",2022,"10.3389/fgene.2022.878123"
0,362,"frontiers in genetics",2022,"10.3389/fgene.2022.861101"
0,587,"frontiers in genetics",2022,"10.3389/fgene.2022.943025"
0,1480,"frontiers in genetics",2022,"10.3389/fgene.2022.883930"
0,949,"frontiers in genetics",2022,"10.3389/fgene.2021.817672"
0,822,"frontiers in genetics",2021,"10.3389/fgene.2021.760760"
0,622,"frontiers in genetics",2021,"10.3389/fgene.2021.703883"
0,1141,"frontiers in genetics",2021,"10.3389/fgene.2021.724197"
0,1182,"frontiers in genetics",2021,"10.3389/fgene.2021.675100"
0,277,"frontiers in genetics",2021,"10.3389/fgene.2021.616220"
0,1561,"frontiers in genetics",2021,"10.3389/fgene.2021.633756"
0,678,"frontiers in molecular biosciences",2023,"10.3389/fmolb.2023.1189527"
0,911,"frontiers in molecular biosciences",2023,"10.3389/fmolb.2023.1184767"
0,828,"frontiers in molecular biosciences",2023,"10.3389/fmolb.2023.1136071"
0,1026,"frontiers in molecular biosciences",2022,"10.3389/fmolb.2022.983410"
0,800,"frontiers in molecular biosciences",2022,"10.3389/fmolb.2022.860525"
0,1566,"frontiers in molecular biosciences",2021,"10.3389/fmolb.2021.685466"
0,686,"frontiers in molecular biosciences",2021,"10.3389/fmolb.2021.697773"
0,1680,"frontiers in molecular biosciences",2021,"10.3389/fmolb.2021.620683"
0,1296,"frontiers in molecular biosciences",2021,"10.3389/fmolb.2020.603701"
0,520,"frontiers in pharmacology",2024,"10.3389/fphar.2024.1378577"
0,701,"frontiers in pharmacology",2024,"10.3389/fphar.2024.1345645"
0,722,"frontiers in pharmacology",2024,"10.3389/fphar.2024.1343936"
0,628,"frontiers in pharmacology",2023,"10.3389/fphar.2023.1076815"
0,414,"frontiers in pharmacology",2022,"10.3389/fphar.2022.874696"
0,555,"frontiers in pharmacology",2022,"10.3389/fphar.2022.851663"
0,1042,"frontiers in pharmacology",2021,"10.3389/fphar.2021.799444"
0,1755,"frontiers in pharmacology",2021,"10.3389/fphar.2021.628988"
0,254,"frontiers in pharmacology",2021,"10.3389/fphar.2021.615445"
0,861,"frontiers in pharmacology",2021,"10.3389/fphar.2021.533028"
0,951,"frontiers in pharmacology",2021,"10.3389/fphar.2020.594847"
0,448,"frontiers in physiology",2022,"10.3389/fphys.2022.835269"
0,280,"frontiers in physiology",2021,"10.3389/fphys.2021.750177"
0,351,"frontiers in physiology",2021,"10.3389/fphys.2021.724470"
0,366,"frontiers in physiology",2021,"10.3389/fphys.2021.717187"
0,392,"frontiers in physiology",2021,"10.3389/fphys.2021.707634"
0,400,"frontiers in physiology",2021,"10.3389/fphys.2021.700585"
0,510,"frontiers in physiology",2021,"10.3389/fphys.2021.646903"
0,511,"frontiers in physiology",2021,"10.3389/fphys.2021.640302"
0,320,"frontiers in physiology",2021,"10.3389/fphys.2020.00718"
0,547,"frontiers in physiology",2021,"10.3389/fphys.2020.597429"
0,568,"frontiers in physiology",2021,"10.3389/fphys.2020.595760"
0,371,"international journal of molecular sciences",2023,"10.3390/ijms25010308"
0,1110,"international journal of molecular sciences",2023,"10.3390/ijms241411510"
0,1041,"international journal of molecular sciences",2023,"10.3390/ijms241310545"
0,318,"international journal of molecular sciences",2022,"10.3390/ijms232415598"
0,1288,"international journal of molecular sciences",2022,"10.3390/ijms232113088"
0,600,"international journal of molecular sciences",2022,"10.3390/ijms23147775"
0,1345,"international journal of molecular sciences",2022,"10.3390/ijms23116139"
0,1561,"international journal of molecular sciences",2022,"10.3390/ijms23042269"
0,1259,"international journal of molecular sciences",2021,"10.3390/ijms22136839"
0,196,"international journal of molecular sciences",2021,"10.3390/ijms22094305"
0,170,"iscience",2023,"10.1016/j.isci.2023.108585"
0,87,"iscience",2023,"10.1016/j.isci.2023.106216"
0,1256,"iscience",2021,"10.1016/j.isci.2021.103535"
0,46,"journal of neurophysiology",2023,"10.1152/jn.00163.2023"
0,1267,"microbial genomics",2021,"10.1099/mgen.0.000597"
0,853,"molecular cell",2022,"10.1016/j.molcel.2022.01.022"
1,990,"molecular ecology",2021,"10.1111/mec.16024"
0,670,"nar genomics and bioinformatics",2021,"10.1093/nargab/lqab042"
0,77,"nature communications",2024,"10.1038/s41467-024-50838-4"
0,84,"nature communications",2024,"10.1038/s41467-024-46890-9"
0,273,"nature communications",2023,"10.1038/s41467-023-37096-6"
0,1291,"nature communications",2022,"10.1038/s41467-022-34704-9"
0,859,"nature communications",2022,"10.1038/s41467-022-33734-7"
0,373,"nature communications",2022,"10.1038/s41467-022-28533-z"
0,1362,"nature communications",2021,"10.1038/s41467-021-25387-9"
1,333,"nature communications",2021,"10.1038/s41467-021-24795-1"
0,350,"nature communications",2021,"10.1038/s41467-021-24195-5"
0,760,"nature communications",2021,"10.1038/s41467-021-23242-5"
0,1583,"nature communications",2021,"10.1038/s41467-020-20733-9"
1,494,"nature communications",2021,"10.1038/s41467-020-20506-4"
0,57,"nature methods",2021,"10.1038/s41592-021-01078-7"
0,94,"plos one",2024,"10.1371/journal.pone.0315105"
0,224,"plos one",2024,"10.1371/journal.pone.0311961"
0,140,"plos one",2024,"10.1371/journal.pone.0309101"
0,351,"plos one",2024,"10.1371/journal.pone.0315086"
0,142,"plos one",2024,"10.1371/journal.pone.0311401"
0,155,"plos one",2024,"10.1371/journal.pone.0302120"
0,378,"plos one",2024,"10.1371/journal.pone.0314565"
0,205,"plos one",2024,"10.1371/journal.pone.0308004"
0,325,"plos one",2024,"10.1371/journal.pone.0309264"
0,162,"plos one",2024,"10.1371/journal.pone.0308021"
0,241,"plos one",2024,"10.1371/journal.pone.0313607"
0,208,"plos one",2024,"10.1371/journal.pone.0309795"
0,245,"plos one",2024,"10.1371/journal.pone.0313446"
0,410,"plos one",2024,"10.1371/journal.pone.0311984"
0,380,"plos one",2024,"10.1371/journal.pone.0308170"
0,491,"plos one",2024,"10.1371/journal.pone.0309291"
0,424,"plos one",2024,"10.1371/journal.pone.0311097"
0,447,"plos one",2024,"10.1371/journal.pone.0310405"
0,227,"plos one",2024,"10.1371/journal.pone.0310882"
0,486,"plos one",2024,"10.1371/journal.pone.0308947"
0,92,"plos one",2024,"10.1371/journal.pone.0310131"
0,238,"plos one",2024,"10.1371/journal.pone.0307014"
0,490,"plos one",2024,"10.1371/journal.pone.0309807"
0,272,"plos one",2024,"10.1371/journal.pone.0309821"
0,90,"plos one",2024,"10.1371/journal.pone.0304485"
0,428,"plos one",2024,"10.1371/journal.pone.0305631"
0,106,"plos one",2024,"10.1371/journal.pone.0309242"
0,536,"plos one",2024,"10.1371/journal.pone.0304589"
0,392,"plos one",2024,"10.1371/journal.pone.0301829"
0,469,"plos one",2024,"10.1371/journal.pone.0302825"
0,314,"plos one",2024,"10.1371/journal.pone.0307545"
0,144,"plos one",2024,"10.1371/journal.pone.0307292"
0,308,"plos one",2024,"10.1371/journal.pone.0304343"
0,533,"plos one",2024,"10.1371/journal.pone.0304354"
0,230,"plos one",2024,"10.1371/journal.pone.0299666"
0,390,"plos one",2024,"10.1371/journal.pone.0303890"
0,505,"plos one",2024,"10.1371/journal.pone.0304088"
0,341,"plos one",2024,"10.1371/journal.pone.0300209"
0,196,"plos one",2024,"10.1371/journal.pone.0304729"
0,165,"plos one",2024,"10.1371/journal.pone.0304344"
0,517,"plos one",2024,"10.1371/journal.pone.0300283"
0,475,"plos one",2024,"10.1371/journal.pone.0301122"
0,417,"plos one",2024,"10.1371/journal.pone.0302534"
0,366,"plos one",2024,"10.1371/journal.pone.0301838"
0,139,"plos one",2024,"10.1371/journal.pone.0302419"
0,532,"plos one",2024,"10.1371/journal.pone.0300734"
0,505,"plos one",2024,"10.1371/journal.pone.0299857"
0,280,"plos one",2024,"10.1371/journal.pone.0298534"
0,384,"plos one",2024,"10.1371/journal.pone.0302034"
0,384,"plos one",2024,"10.1371/journal.pone.0292260"
0,539,"plos one",2024,"10.1371/journal.pone.0299688"
0,610,"plos one",2024,"10.1371/journal.pone.0299442"
0,506,"plos one",2024,"10.1371/journal.pone.0295853"
0,541,"plos one",2024,"10.1371/journal.pone.0301698"
0,561,"plos one",2024,"10.1371/journal.pone.0299119"
0,552,"plos one",2024,"10.1371/journal.pone.0297529"
0,553,"plos one",2024,"10.1371/journal.pone.0299727"
0,525,"plos one",2024,"10.1371/journal.pone.0299707"
0,413,"plos one",2024,"10.1371/journal.pone.0300652"
0,528,"plos one",2024,"10.1371/journal.pone.0300921"
0,235,"plos one",2024,"10.1371/journal.pone.0297350"
0,533,"plos one",2024,"10.1371/journal.pone.0300533"
0,120,"plos one",2024,"10.1371/journal.pone.0299881"
0,391,"plos one",2024,"10.1371/journal.pone.0294289"
0,145,"plos one",2024,"10.1371/journal.pone.0299654"
0,546,"plos one",2024,"10.1371/journal.pone.0294269"
0,546,"plos one",2024,"10.1371/journal.pone.0295695"
0,45,"plos one",2024,"10.1371/journal.pone.0298220"
0,190,"plos one",2024,"10.1371/journal.pone.0298861"
0,721,"plos one",2024,"10.1371/journal.pone.0297868"
0,568,"plos one",2024,"10.1371/journal.pone.0295448"
0,134,"plos one",2024,"10.1371/journal.pone.0296121"
0,272,"plos one",2024,"10.1371/journal.pone.0296632"
0,272,"plos one",2024,"10.1371/journal.pone.0298797"
0,473,"plos one",2024,"10.1371/journal.pone.0297559"
0,454,"plos one",2024,"10.1371/journal.pone.0296997"
0,582,"plos one",2024,"10.1371/journal.pone.0291309"
0,278,"plos one",2024,"10.1371/journal.pone.0298428"
0,564,"plos one",2024,"10.1371/journal.pone.0296516"
0,504,"plos one",2024,"10.1371/journal.pone.0287569"
0,669,"plos one",2024,"10.1371/journal.pone.0297046"
0,578,"plos one",2024,"10.1371/journal.pone.0296712"
0,640,"plos one",2024,"10.1371/journal.pone.0293563"
0,474,"plos one",2024,"10.1371/journal.pone.0297264"
0,596,"plos one",2024,"10.1371/journal.pone.0295633"
0,483,"plos one",2024,"10.1371/journal.pone.0291656"
0,518,"plos one",2024,"10.1371/journal.pone.0295784"
0,629,"plos one",2024,"10.1371/journal.pone.0295951"
0,495,"plos one",2023,"10.1371/journal.pone.0295628"
0,326,"plos one",2023,"10.1371/journal.pone.0296099"
0,298,"plos one",2023,"10.1371/journal.pone.0293371"
0,721,"plos one",2023,"10.1371/journal.pone.0295563"
0,636,"plos one",2023,"10.1371/journal.pone.0290121"
0,340,"plos one",2023,"10.1371/journal.pone.0295447"
0,636,"plos one",2023,"10.1371/journal.pone.0293890"
0,426,"plos one",2023,"10.1371/journal.pone.0295262"
0,319,"plos one",2023,"10.1371/journal.pone.0292680"
0,349,"plos one",2023,"10.1371/journal.pone.0294967"
0,701,"plos one",2023,"10.1371/journal.pone.0293306"
0,439,"plos one",2023,"10.1371/journal.pone.0294582"
0,362,"plos one",2023,"10.1371/journal.pone.0292403"
0,769,"plos one",2023,"10.1371/journal.pone.0293980"
0,377,"plos one",2023,"10.1371/journal.pone.0288683"
0,504,"plos one",2023,"10.1371/journal.pone.0290624"
0,579,"plos one",2023,"10.1371/journal.pone.0288072"
0,669,"plos one",2023,"10.1371/journal.pone.0287819"
0,656,"plos one",2023,"10.1371/journal.pone.0293447"
0,774,"plos one",2023,"10.1371/journal.pone.0292284"
0,698,"plos one",2023,"10.1371/journal.pone.0292859"
0,705,"plos one",2023,"10.1371/journal.pone.0291930"
0,544,"plos one",2023,"10.1371/journal.pone.0292587"
0,742,"plos one",2023,"10.1371/journal.pone.0286573"
0,382,"plos one",2023,"10.1371/journal.pone.0291759"
0,859,"plos one",2023,"10.1371/journal.pone.0290582"
0,606,"plos one",2023,"10.1371/journal.pone.0287416"
0,420,"plos one",2023,"10.1371/journal.pone.0290719"
0,770,"plos one",2023,"10.1371/journal.pone.0290511"
0,411,"plos one",2023,"10.1371/journal.pone.0290694"
0,732,"plos one",2023,"10.1371/journal.pone.0285695"
0,626,"plos one",2023,"10.1371/journal.pone.0276041"
0,334,"plos one",2023,"10.1371/journal.pone.0290086"
0,435,"plos one",2023,"10.1371/journal.pone.0289720"
0,246,"plos one",2023,"10.1371/journal.pone.0290015"
0,456,"plos one",2023,"10.1371/journal.pone.0289251"
0,242,"plos one",2023,"10.1371/journal.pone.0289024"
0,629,"plos one",2023,"10.1371/journal.pone.0287755"
0,881,"plos one",2023,"10.1371/journal.pone.0288788"
0,768,"plos one",2023,"10.1371/journal.pone.0288510"
0,482,"plos one",2023,"10.1371/journal.pone.0288866"
0,774,"plos one",2023,"10.1371/journal.pone.0287672"
0,890,"plos one",2023,"10.1371/journal.pone.0288537"
0,259,"plos one",2023,"10.1371/journal.pone.0285806"
0,788,"plos one",2023,"10.1371/journal.pone.0287820"
0,903,"plos one",2023,"10.1371/journal.pone.0285804"
0,848,"plos one",2023,"10.1371/journal.pone.0285173"
0,794,"plos one",2023,"10.1371/journal.pone.0286033"
0,860,"plos one",2023,"10.1371/journal.pone.0287475"
0,670,"plos one",2023,"10.1371/journal.pone.0286817"
0,503,"plos one",2023,"10.1371/journal.pone.0286913"
0,939,"plos one",2023,"10.1371/journal.pone.0286903"
0,817,"plos one",2023,"10.1371/journal.pone.0285837"
0,831,"plos one",2023,"10.1371/journal.pone.0284803"
0,917,"plos one",2023,"10.1371/journal.pone.0284019"
0,484,"plos one",2023,"10.1371/journal.pone.0283251"
0,62,"plos one",2023,"10.1371/journal.pone.0282968"
0,598,"plos one",2023,"10.1371/journal.pone.0281720"
0,931,"plos one",2023,"10.1371/journal.pone.0280849"
0,34,"plos one",2023,"10.1371/journal.pone.0282682"
0,1015,"plos one",2023,"10.1371/journal.pone.0282895"
0,782,"plos one",2023,"10.1371/journal.pone.0282158"
0,870,"plos one",2023,"10.1371/journal.pone.0278568"
0,913,"plos one",2023,"10.1371/journal.pone.0282109"
0,838,"plos one",2023,"10.1371/journal.pone.0280845"
0,285,"plos one",2023,"10.1371/journal.pone.0277652"
0,110,"plos one",2023,"10.1371/journal.pone.0279534"
0,930,"plos one",2023,"10.1371/journal.pone.0281403"
0,73,"plos one",2023,"10.1371/journal.pone.0276495"
0,942,"plos one",2023,"10.1371/journal.pone.0276973"
0,948,"plos one",2023,"10.1371/journal.pone.0280389"
0,139,"plos one",2023,"10.1371/journal.pone.0280239"
0,88,"plos one",2023,"10.1371/journal.pone.0279520"
0,521,"plos one",2022,"10.1371/journal.pone.0279120"
0,622,"plos one",2022,"10.1371/journal.pone.0278164"
0,1034,"plos one",2022,"10.1371/journal.pone.0278333"
0,1049,"plos one",2022,"10.1371/journal.pone.0277519"
0,888,"plos one",2022,"10.1371/journal.pone.0275422"
0,181,"plos one",2022,"10.1371/journal.pone.0277977"
0,846,"plos one",2022,"10.1371/journal.pone.0277329"
0,196,"plos one",2022,"10.1371/journal.pone.0277539"
0,1130,"plos one",2022,"10.1371/journal.pone.0277706"
0,656,"plos one",2022,"10.1371/journal.pone.0277673"
0,1141,"plos one",2022,"10.1371/journal.pone.0272828"
0,658,"plos one",2022,"10.1371/journal.pone.0272800"
0,42,"plos one",2022,"10.1371/journal.pone.0275989"
0,1196,"plos one",2022,"10.1371/journal.pone.0275541"
0,1183,"plos one",2022,"10.1371/journal.pone.0274116"
0,996,"plos one",2022,"10.1371/journal.pone.0274047"
0,954,"plos one",2022,"10.1371/journal.pone.0272521"
0,1155,"plos one",2022,"10.1371/journal.pone.0271401"
0,314,"plos one",2022,"10.1371/journal.pone.0271107"
0,950,"plos one",2022,"10.1371/journal.pone.0273023"
0,1212,"plos one",2022,"10.1371/journal.pone.0272447"
0,780,"plos one",2022,"10.1371/journal.pone.0271017"
0,950,"plos one",2022,"10.1371/journal.pone.0272396"
0,787,"plos one",2022,"10.1371/journal.pone.0271387"
0,251,"plos one",2022,"10.1371/journal.pone.0269739"
0,309,"plos one",2022,"10.1371/journal.pone.0272717"
0,196,"plos one",2022,"10.1371/journal.pone.0271163"
0,317,"plos one",2022,"10.1371/journal.pone.0272776"
0,168,"plos one",2022,"10.1371/journal.pone.0271769"
0,212,"plos one",2022,"10.1371/journal.pone.0272213"
0,1260,"plos one",2022,"10.1371/journal.pone.0271485"
0,1116,"plos one",2022,"10.1371/journal.pone.0271696"
0,1015,"plos one",2022,"10.1371/journal.pone.0270308"
0,831,"plos one",2022,"10.1371/journal.pone.0269879"
0,836,"plos one",2022,"10.1371/journal.pone.0269575"
0,714,"plos one",2022,"10.1371/journal.pone.0270363"
0,880,"plos one",2022,"10.1371/journal.pone.0269025"
0,79,"plos one",2022,"10.1371/journal.pone.0268907"
0,68,"plos one",2022,"10.1371/journal.pone.0265325"
0,97,"plos one",2022,"10.1371/journal.pone.0267939"
0,89,"plos one",2022,"10.1371/journal.pone.0268919"
0,96,"plos one",2022,"10.1371/journal.pone.0266778"
0,127,"plos one",2022,"10.1371/journal.pone.0268658"
0,84,"plos one",2022,"10.1371/journal.pone.0263289"
0,100,"plos one",2022,"10.1371/journal.pone.0267987"
0,1079,"plos one",2022,"10.1371/journal.pone.0264210"
0,130,"plos one",2022,"10.1371/journal.pone.0268659"
0,576,"plos one",2022,"10.1371/journal.pone.0263753"
0,1196,"plos one",2022,"10.1371/journal.pone.0262782"
0,110,"plos one",2022,"10.1371/journal.pone.0268154"
0,399,"plos one",2022,"10.1371/journal.pone.0263605"
0,951,"plos one",2022,"10.1371/journal.pone.0265566"
0,143,"plos one",2022,"10.1371/journal.pone.0267788"
0,1110,"plos one",2022,"10.1371/journal.pone.0263901"
0,126,"plos one",2022,"10.1371/journal.pone.0267483"
0,105,"plos one",2022,"10.1371/journal.pone.0266695"
0,131,"plos one",2022,"10.1371/journal.pone.0263260"
0,1100,"plos one",2022,"10.1371/journal.pone.0265026"
0,124,"plos one",2022,"10.1371/journal.pone.0266248"
0,125,"plos one",2022,"10.1371/journal.pone.0265206"
0,1188,"plos one",2022,"10.1371/journal.pone.0265443"
0,111,"plos one",2022,"10.1371/journal.pone.0264476"
0,100,"plos one",2022,"10.1371/journal.pone.0266676"
0,148,"plos one",2022,"10.1371/journal.pone.0265515"
0,162,"plos one",2022,"10.1371/journal.pone.0267499"
0,135,"plos one",2022,"10.1371/journal.pone.0266675"
0,138,"plos one",2022,"10.1371/journal.pone.0266756"
0,153,"plos one",2022,"10.1371/journal.pone.0265694"
0,518,"plos one",2022,"10.1371/journal.pone.0263634"
0,651,"plos one",2022,"10.1371/journal.pone.0266297"
0,1406,"plos one",2022,"10.1371/journal.pone.0266898"
1,112,"plos one",2022,"10.1371/journal.pone.0263144"
0,139,"plos one",2022,"10.1371/journal.pone.0266753"
0,153,"plos one",2022,"10.1371/journal.pone.0265654"
0,111,"plos one",2022,"10.1371/journal.pone.0266694"
0,377,"plos one",2022,"10.1371/journal.pone.0265125"
0,1155,"plos one",2022,"10.1371/journal.pone.0265005"
0,134,"plos one",2022,"10.1371/journal.pone.0260746"
0,152,"plos one",2022,"10.1371/journal.pone.0265969"
0,183,"plos one",2022,"10.1371/journal.pone.0265956"
0,167,"plos one",2022,"10.1371/journal.pone.0265454"
0,176,"plos one",2022,"10.1371/journal.pone.0265111"
