"time","surv","nrisk","nevent","arm"
0.0191649555099247,0.999997370054387,380236,1,"not linked"
0.0438056125941136,0.999994740108775,380235,1,"not linked"
0.0520191649555099,0.999992110163162,380234,1,"not linked"
0.0629705681040383,0.999989480217549,380233,1,"not linked"
0.0766598220396988,0.999986850271936,380232,1,"not linked"
0.0876112251882272,0.999984220326324,380231,1,"not linked"
0.0930869267624914,0.999981590380711,380230,1,"not linked"
0.0985626283367557,0.999978960435098,380229,1,"not linked"
0.109514031485284,0.999976330489485,380228,1,"not linked"
0.114989733059548,0.99997107059826,380227,2,"not linked"
0.123203285420945,0.999968440652647,380225,1,"not linked"
0.125941136208077,0.999965810707034,380224,1,"not linked"
0.136892539356605,0.999963180761422,380223,1,"not linked"
0.15605749486653,0.999960550815809,380222,1,"not linked"
0.16974674880219,0.999957920870196,380221,1,"not linked"
0.172484599589322,0.999955290924584,380220,1,"not linked"
0.186173853524983,0.999952660978971,380219,1,"not linked"
0.199863107460643,0.999950031033358,380218,1,"not linked"
0.210814510609172,0.999947401087745,380217,1,"not linked"
0.213552361396304,0.999944771142133,380216,1,"not linked"
0.216290212183436,0.999939511250907,380215,2,"not linked"
0.224503764544832,0.999936881305294,380213,1,"not linked"
0.227241615331964,0.999934251359682,380212,1,"not linked"
0.229979466119097,0.999928991468456,380211,2,"not linked"
0.238193018480493,0.999923731577231,380209,2,"not linked"
0.240930869267625,0.999921101631618,380207,1,"not linked"
0.243668720054757,0.999915841740393,380206,2,"not linked"
0.246406570841889,0.99991321179478,380204,1,"not linked"
0.249144421629021,0.999910581849167,380203,1,"not linked"
0.251882272416153,0.999907951903554,380202,1,"not linked"
0.257357973990418,0.999905321957942,380201,1,"not linked"
0.262833675564682,0.999900062066716,380200,2,"not linked"
0.265571526351814,0.999894802175491,380198,2,"not linked"
0.27378507871321,0.999889542284265,380196,2,"not linked"
0.287474332648871,0.999886912338653,380194,1,"not linked"
0.290212183436003,0.99988428239304,380193,1,"not linked"
0.301163586584531,0.999879022501814,380192,2,"not linked"
0.303901437371663,0.999873762610589,380190,2,"not linked"
0.323066392881588,0.999871132664976,380188,1,"not linked"
0.328542094455852,0.999868502719364,380187,1,"not linked"
0.339493497604381,0.999865872773751,380186,1,"not linked"
